
>>>>>>>>>>>>>>>>>>>>>>>> | PANEM CENSUS ROLL | The Capitol POP 10000 | <<<<<<<<<<<<<<<<<<<<<<<<<
ABBOTT, ALDEN             17 M | ABBOTT, AVA               36 M | ABBOTT, AVERY             11 M
ABBOTT, BEATRICE         < 1 M | ABBOTT, DAVID            < 1 M | ABBOTT, FERNANDO          35 F
ABBOTT, GERSON            59 F | ABBOTT, JARROD            69 M | ABBOTT, KEANU             85 M
ABBOTT, MADELINE          24 F | ABBOTT, MALLORY            5 M | ABBOTT, MOZELLE           77 M
ABBOTT, OCTAVIA           30 F | ABBOTT, PATTIE            68 M | ABBOTT, VELVA              6 F
ABERNATHY, ALIZE          84 F | ABERNATHY, ALLISON        18 F | ABERNATHY, ASHLEE         75 F
ABERNATHY, DEMARCO        17 F | ABERNATHY, EARLENE        10 F | ABERNATHY, EDWARD         31 M
ABERNATHY, FRANZ          53 M | ABERNATHY, GEORGIAN       19 M | ABERNATHY, JOSEPH         23 M
ABERNATHY, KAMREN          2 M | ABERNATHY, KAYLIE          1 F | ABERNATHY, KEATON        < 1 F
ABERNATHY, KIERA         < 1 M | ABERNATHY, LUCIUS         78 F | ABERNATHY, MAGNOLIA        5 M
ABERNATHY, MAXIMO         70 F | ABERNATHY, QUINTEN        54 M | ABERNATHY, RHEA           75 M
ABERNATHY, SKYE           72 F | ABERNATHY, TITO           70 M | ABERNATHY, TRAVON         56 F
ABERNATHY, TREVA          18 M | ABERNATHY, WAYNE          12 M | ABSHIRE, ANNALISE         23 M
ABSHIRE, CARMINE          52 M | ABSHIRE, EDGARDO          24 M | ABSHIRE, GEORGIANNA       11 M
ABSHIRE, JOVAN            43 F | ABSHIRE, MARIELA          17 F | ABSHIRE, NOEMY            81 F
ABSHIRE, OLE              60 F | ABSHIRE, REYNA           < 1 M | ABSHIRE, SAVANNA          24 M
ABSHIRE, WOODROW          35 M | ABSHIRE, YADIRA            7 M | ADAMS, ALYCIA             14 F
ADAMS, CASPER             89 F | ADAMS, CECIL              63 F | ADAMS, CLINT               9 F
ADAMS, DAN                74 M | ADAMS, ELI                63 M | ADAMS, EVELINE            52 M
ADAMS, HEAVEN              8 F | ADAMS, HUDSON             82 M | ADAMS, ISAIAH             29 M
ADAMS, JADON              85 M | ADAMS, JAMIL               5 F | ADAMS, JARRED            < 1 F
ADAMS, JAYLEN             10 M | ADAMS, JERALD             44 F | ADAMS, JETT               73 M
ADAMS, KARLEY             23 F | ADAMS, OSCAR               4 M | ADAMS, TERRENCE            7 F
ADAMS, WENDY              40 F | ALTENWERTH, ABIGAYL       82 F | ALTENWERTH, ALENE         23 M
ALTENWERTH, ANGELA        41 M | ALTENWERTH, COY           17 M | ALTENWERTH, DARION         9 M
ALTENWERTH, DESTINY       45 F | ALTENWERTH, FLORENC       34 M | ALTENWERTH, HENDERS       55 F
ALTENWERTH, IMANI         55 F | ALTENWERTH, JERAMIE       56 M | ALTENWERTH, JEWELL        20 F
ALTENWERTH, KITTY         55 M | ALTENWERTH, LAURIAN       19 F | ALTENWERTH, MARQUES       55 M
ALTENWERTH, ROSALYN       78 F | ALTENWERTH, SEDRICK        8 F | ALTENWERTH, SHANE         20 F
ALTENWERTH, STEWART       12 F | ALTENWERTH, SUSAN          6 F | ALTENWERTH, TERESA        66 M
ANDERSON, AHMED           12 F | ANDERSON, CIERRA          39 M | ANDERSON, DIANA           73 F
ANDERSON, ELFRIEDA        69 M | ANDERSON, EWALD           10 M | ANDERSON, JANICK          11 M
ANDERSON, LUKAS           80 F | ANDERSON, LULU            18 F | ANDERSON, MASON          < 1 F
ANDERSON, MILES            5 M | ANDERSON, NORBERT         84 F | ANDERSON, PEDRO           43 F
ANDERSON, RANDAL          15 M | ANDERSON, REBA            53 M | ANDERSON, STUART          49 M
ANDERSON, SYDNIE           2 M | ANDERSON, TRISTIN         51 M | ANDERSON, WAINO           13 M
ANDERSON, WILEY           45 F | ANKUNDING, AGLAE          32 M | ANKUNDING, ALENE          18 M
ANKUNDING, ALTA            5 M | ANKUNDING, ALTHEA         64 M | ANKUNDING, AMERICA         6 M
ANKUNDING, CARMELLA       31 F | ANKUNDING, CAROLINA        3 M | ANKUNDING, CHRISTEL       77 M
ANKUNDING, EVAN           70 M | ANKUNDING, FAUSTINO       29 F | ANKUNDING, FAYE            4 F
ANKUNDING, FRANCES         6 M | ANKUNDING, HELENA         11 M | ANKUNDING, JAVON          54 F
ANKUNDING, JAYME          35 M | ANKUNDING, JONATAN        66 F | ANKUNDING, KEEGAN          8 M
ANKUNDING, KENDRA         78 F | ANKUNDING, LAWSON         72 M | ANKUNDING, LESLIE          7 F
ANKUNDING, LUDIE         < 1 M | ANKUNDING, MAGDALEN       19 F | ANKUNDING, MOSE           78 F
ANKUNDING, MYRNA           8 M | ANKUNDING, VERGIE         34 M | ARMSTRONG, AGUSTIN         2 M
ARMSTRONG, ALBERT         91 F | ARMSTRONG, BERTRAND        4 M | ARMSTRONG, CLARK          53 F
ARMSTRONG, CODY           46 M | ARMSTRONG, DEMARIO         1 M | ARMSTRONG, ELECTA          2 M
ARMSTRONG, ELWIN           6 M | ARMSTRONG, EUGENIA        11 M | ARMSTRONG, FELTON         34 M
ARMSTRONG, JAKAYLA        63 F | ARMSTRONG, JAMAR           5 F | ARMSTRONG, KATRINA         4 M
ARMSTRONG, LEONIE          9 F | ARMSTRONG, MARKUS         81 M | ARMSTRONG, NILS           21 M
ARMSTRONG, TONI           20 F | ARMSTRONG, TRISTIN        55 F | ARMSTRONG, URIAH          51 M
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>  ----------  PAGE  1  ---------  <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<

>>>>>>>>>>>>>>>>>>>>>>>> | PANEM CENSUS ROLL | The Capitol POP 10000 | <<<<<<<<<<<<<<<<<<<<<<<<<
AUER, ARMAND              16 F | AUER, BEATRICE            11 M | AUER, BILLIE              40 F
AUER, BRANDY              74 F | AUER, CAROLYNE            13 M | AUER, DONNY               14 F
AUER, ELINORE             61 F | AUER, ELVA                34 M | AUER, EMMALEE             36 M
AUER, ERIBERTO            64 M | AUER, GENEVIEVE           34 M | AUER, JACYNTHE            13 F
AUER, JOSEPH              17 M | AUER, JUNIUS              82 F | AUER, KAYLI               11 M
AUER, MADISON             20 M | AUER, MYRIAM              22 M | AUER, PIERRE              22 M
AUER, RICHIE              15 M | AUER, WILHELM             13 F | AUFDERHAR, ALEJANDR       55 M
AUFDERHAR, ALESSAND        2 M | AUFDERHAR, ANGELO         80 M | AUFDERHAR, ARYANNA        20 M
AUFDERHAR, BRADFORD       25 M | AUFDERHAR, CATHRYN        38 F | AUFDERHAR, DAISHA         14 M
AUFDERHAR, EMORY          10 F | AUFDERHAR, FRIEDRIC        2 F | AUFDERHAR, GERDA          50 M
AUFDERHAR, HILLARY         3 M | AUFDERHAR, JUSTON         34 M | AUFDERHAR, KATLYN          3 M
AUFDERHAR, LUDWIG         40 M | AUFDERHAR, MAURICE         1 F | AUFDERHAR, MELODY          9 F
AUFDERHAR, MYRA           34 F | AUFDERHAR, NAPOLEON       23 M | AUFDERHAR, ORLO           15 F
AUFDERHAR, REESE          11 M | AUFDERHAR, ROGER          15 F | AUFDERHAR, SABRINA        18 F
AUFDERHAR, SAMMY          49 F | AUFDERHAR, TYREL          12 M | BAHRINGER, ADELL          42 M
BAHRINGER, ALESSAND       19 M | BAHRINGER, ANTWAN          8 F | BAHRINGER, CLEMENTI       46 M
BAHRINGER, ELNA            3 M | BAHRINGER, EULAH          65 M | BAHRINGER, HOLDEN         17 M
BAHRINGER, JESSICA        15 F | BAHRINGER, KEVON          59 F | BAHRINGER, MARIAN          2 M
BAHRINGER, REBECCA        68 M | BAHRINGER, RETTA           8 M | BAHRINGER, ROSE           57 F
BAHRINGER, ROSEMARI       14 M | BAHRINGER, SIM            75 F | BAHRINGER, SYDNEE          1 F
BAHRINGER, VIVIEN         15 M | BAILEY, BAYLEE            11 F | BAILEY, BRADY             58 F
BAILEY, BRANDY            90 F | BAILEY, CARSON            61 M | BAILEY, CASSIE            56 F
BAILEY, HEATH              1 M | BAILEY, JADEN             63 F | BAILEY, JAMAR             56 F
BAILEY, JEANETTE          82 F | BAILEY, JESUS             27 F | BAILEY, KYLA              82 F
BAILEY, LAMAR             18 M | BAILEY, LAURY             24 M | BAILEY, LOMA              13 M
BAILEY, MAGDALENA         11 M | BAILEY, MARCELLUS         89 M | BAILEY, MELVINA           87 F
BAILEY, NOLAN              7 M | BAILEY, ODA               63 F | BAILEY, OTTILIE           49 M
BAILEY, RALPH             28 F | BAILEY, RESSIE             8 M | BAILEY, ROSA              54 F
BAILEY, RUTHE              9 M | BALISTRERI, AALIYAH       65 M | BALISTRERI, ABEL          75 M
BALISTRERI, ALIZE         66 M | BALISTRERI, BRANDON       88 F | BALISTRERI, CASEY         18 F
BALISTRERI, DENNIS        22 F | BALISTRERI, JIMMY          6 M | BALISTRERI, JULIET        43 F
BALISTRERI, KELSI         25 F | BALISTRERI, MARILIE        9 F | BALISTRERI, MYRTIE         8 F
BALISTRERI, ORLAND         7 F | BALISTRERI, PATTIE        28 F | BALISTRERI, SHELDON       75 F
BALISTRERI, SYDNIE        79 M | BARROWS, ADELINE           2 M | BARROWS, ALLEN            10 M
BARROWS, ANASTASIA         6 F | BARROWS, ANDERSON         16 M | BARROWS, ARVID            20 F
BARROWS, AVERY            39 F | BARROWS, BENNETT           7 M | BARROWS, CHASITY          19 F
BARROWS, CLEMENS          18 F | BARROWS, EDGAR            32 M | BARROWS, ERNESTO          12 F
BARROWS, JUSTICE          70 F | BARROWS, KASEY            55 M | BARROWS, LENNIE           19 M
BARROWS, LIZETH           78 F | BARROWS, MARIA            81 F | BARROWS, MEREDITH          3 F
BARROWS, ODESSA           23 M | BARROWS, PANSY            63 F | BARROWS, PEDRO             7 F
BARROWS, STANLEY           7 F | BARROWS, TOBIN             5 M | BARTELL, ABIGALE          19 M
BARTELL, ANGELICA         35 M | BARTELL, ARELY            54 M | BARTELL, ASHA             24 F
BARTELL, AUDREANNE        30 M | BARTELL, CARSON           46 M | BARTELL, CONRAD           10 F
BARTELL, DEVANTE          37 F | BARTELL, ELEANORE         17 F | BARTELL, HASKELL           7 M
BARTELL, HECTOR           45 F | BARTELL, ISAI             59 F | BARTELL, JORDI            59 M
BARTELL, LAISHA           24 M | BARTELL, LAURA            20 F | BARTELL, LOIS             59 F
BARTELL, MARIANE          48 M | BARTELL, MERVIN           74 M | BARTELL, RUPERT           64 M
BARTELL, SAUL             15 F | BARTELL, THEO             40 F | BARTELL, TYSHAWN          32 M
BARTOLETTI, AIDEN         45 M | BARTOLETTI, DEREK         23 F | BARTOLETTI, FRANCO        91 F
BARTOLETTI, JAMEL          4 M | BARTOLETTI, JANY          13 M | BARTOLETTI, JAROD         75 M
BARTOLETTI, LEVI          14 F | BARTOLETTI, LEXIE          8 M | BARTOLETTI, LUIGI         24 M
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>  ----------  PAGE  2  ---------  <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<

>>>>>>>>>>>>>>>>>>>>>>>> | PANEM CENSUS ROLL | The Capitol POP 10000 | <<<<<<<<<<<<<<<<<<<<<<<<<
BARTOLETTI, NELDA         72 M | BARTOLETTI, NYAH          40 F | BARTOLETTI, OLAF           6 M
BARTOLETTI, RHEA          22 F | BARTOLETTI, SAVANAH       34 M | BARTOLETTI, STANLEY       77 F
BARTOLETTI, SUNNY         17 F | BARTOLETTI, SVEN         < 1 M | BARTOLETTI, TRYCIA         8 F
BARTOLETTI, WALTON        77 M | BARTON, ALEXANDER         82 M | BARTON, ALIA              38 M
BARTON, ANNETTE            6 M | BARTON, BREANNE           51 F | BARTON, CATALINA           5 F
BARTON, CATHERINE         68 F | BARTON, COLBY              7 F | BARTON, DORTHY            90 F
BARTON, ELENA             51 F | BARTON, FAYE               1 M | BARTON, FIONA             17 F
BARTON, FLETCHER          89 F | BARTON, LEXI              89 M | BARTON, MARGARETT         21 M
BARTON, MAUD              89 F | BARTON, REBECA            13 F | BARTON, ROSINA             3 M
BARTON, SHAKIRA           76 F | BARTON, STEPHAN            2 M | BARTON, TIERRA            16 M
BARTON, VERONA             2 M | BARTON, XAVIER            33 F | BASHIRIAN, ALFORD         79 M
BASHIRIAN, BRAYAN         36 F | BASHIRIAN, CARA            4 F | BASHIRIAN, CHADD          14 M
BASHIRIAN, DENIS          18 M | BASHIRIAN, DYLAN          60 F | BASHIRIAN, EASTON         12 F
BASHIRIAN, ELDORA         61 M | BASHIRIAN, ENRIQUE         2 F | BASHIRIAN, EVERT           6 F
